category,company,description,title,review,stars,texto,texto_ligero,texto_pesado,nlptown_stars,nlptown_score,topic_id,topic_score,topic_nombre,sentimiento
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",Easy website to use,Easy website to use. Happy with the interest rates & would recommend Virgin Banking & associated products. ,5,Easy website to use Easy website to use. Happy with the interest rates & would recommend Virgin Banking & associated products. ,Easy website to use Easy website to use. Happy with the interest rates & would recommend Virgin Banking & associated products.,easy website easy website happy rates recommend virgin banking associated products,5,0.5774,6,0.2814,Proceso y solicitudes,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",So easy to apply and all completed…,So easy to apply and all completed withinn10 minutesExcellent product for my needs ,5,So easy to apply and all completed… So easy to apply and all completed withinn10 minutesExcellent product for my needs ,So easy to apply and all completed… So easy to apply and all completed withinn10 minutesExcellent product for my needs,easy apply completed easy apply completed withinn minutesexcellent product needs,5,0.8038,6,0.1713,Proceso y solicitudes,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",Smooth and efficient service ,"After a stressful experience with HSBC, getting the credit card with Virgin Money was far smoother and stress free.  So far, so good ! ",5,"Smooth and efficient service  After a stressful experience with HSBC, getting the credit card with Virgin Money was far smoother and stress free.  So far, so good ! ","Smooth and efficient service  After a stressful experience with HSBC, getting the credit card with Virgin Money was far smoother and stress free.  So far, so good !",smooth efficient service stressful experience hsbc getting credit card virgin money far smoother stress free far good,5,0.717,1,0.1468,Tarjetas y transferencias,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",Brilliant,"The credit card was easy to apply for, the money transfers was handled beautifully by Virgin. The app is great and easy to understand and the customer service is brilliant. ",5,"Brilliant The credit card was easy to apply for, the money transfers was handled beautifully by Virgin. The app is great and easy to understand and the customer service is brilliant. ","Brilliant The credit card was easy to apply for, the money transfers was handled beautifully by Virgin. The app is great and easy to understand and the customer service is brilliant.",brilliant credit card easy apply money transfers handled beautifully virgin app great easy understand customer service brilliant,5,0.8987,6,0.1699,Proceso y solicitudes,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",Great bank to be with after changing…,Great bank to be with after changing from another online bank. ,5,Great bank to be with after changing… Great bank to be with after changing from another online bank. ,Great bank to be with after changing… Great bank to be with after changing from another online bank.,great bank changing great bank changing online bank,5,0.7876,5,0.2176,Experiencia general,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",Brilliant staff happy to help always smiling ,The help from the staff is amazing and pleasant cheery go out of their way to help me and I have just switched banks so it’s a bit of a challenge at the moment Rutherglen branch if one can’t get it the other one gets it Thank you ,5,Brilliant staff happy to help always smiling  The help from the staff is amazing and pleasant cheery go out of their way to help me and I have just switched banks so it’s a bit of a challenge at the moment Rutherglen branch if one can’t get it the other one gets it Thank you ,Brilliant staff happy to help always smiling  The help from the staff is amazing and pleasant cheery go out of their way to help me and I have just switched banks so it’s a bit of a challenge at the moment Rutherglen branch if one can’t get it the other one gets it Thank you,brilliant staff happy help smiling help staff amazing pleasant cheery way help switched banks bit challenge moment rutherglen branch gets thank,5,0.6994,4,0.1902,Atención presencial,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",Had a few teething problems in the…,Had a few teething problems in the beginning but the resolved them quickly and satisfactory ,5,Had a few teething problems in the… Had a few teething problems in the beginning but the resolved them quickly and satisfactory ,Had a few teething problems in the… Had a few teething problems in the beginning but the resolved them quickly and satisfactory,teething problems teething problems beginning resolved quickly satisfactory,4,0.6125,4,0.0129,Atención presencial,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",Perfect so far,Perfect so far. Application was easy - card and PIN arrived with no problem. Card usage has been seamless here in Australia.Compare this versus the Barclaycard I applied for where the card arrived with no PIN. Despite 3 calls (average call time to them was 16 minutes) they were powerless to send me the PIN which hadn't arrived 2 weeks after I'd got the card. I gladly cancelled the account without ever using the card and happily changed to Virgin,5,Perfect so far Perfect so far. Application was easy - card and PIN arrived with no problem. Card usage has been seamless here in Australia.Compare this versus the Barclaycard I applied for where the card arrived with no PIN. Despite 3 calls (average call time to them was 16 minutes) they were powerless to send me the PIN which hadn't arrived 2 weeks after I'd got the card. I gladly cancelled the account without ever using the card and happily changed to Virgin,Perfect so far Perfect so far. Application was easy - card and PIN arrived with no problem. Card usage has been seamless here in Australia.Compare this versus the Barclaycard I applied for where the card arrived with no PIN. Despite 3 calls (average call time to them was 16 minutes) they were powerless to send me the PIN which hadn't arrived 2 weeks after I'd got the card. I gladly cancelled the account without ever using the card and happily changed to Virgin,perfect far perfect far application easy card pin arrived problem card usage seamless australia compare versus barclaycard applied card arrived pin despite calls average minutes powerless send pin hadn arrived weeks card gladly cancelled account using card happily changed virgin,5,0.6236,1,0.1593,Tarjetas y transferencias,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",Virgin have great balance transfer…,Virgin have great balance transfer offers. I always search out the best offers online and virgin are always at the top. The online banking platform is also easy to use- all your transactions at a glance:) ,5,Virgin have great balance transfer… Virgin have great balance transfer offers. I always search out the best offers online and virgin are always at the top. The online banking platform is also easy to use- all your transactions at a glance:) ,Virgin have great balance transfer… Virgin have great balance transfer offers. I always search out the best offers online and virgin are always at the top. The online banking platform is also easy to use- all your transactions at a glance:),virgin great balance transfer virgin great balance transfer offers search best offers online virgin online banking platform easy transactions glance,5,0.8509,7,0.1815,App y banca digital,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",Highly recommended ,"Really easy to use website, updated me regularly, fantastic app too! Highly recommend them, plus amazing rates! ",5,"Highly recommended  Really easy to use website, updated me regularly, fantastic app too! Highly recommend them, plus amazing rates! ","Highly recommended  Really easy to use website, updated me regularly, fantastic app too! Highly recommend them, plus amazing rates!",highly recommended easy website updated regularly fantastic app highly recommend plus amazing rates,5,0.9597,6,0.141,Proceso y solicitudes,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",A whole new world ,"Love the app very helpful Staff in order to get me on the right track opening my account, et ceteraEverything seems to be working really goodWould love to have a virtual card though for one off purposes when you don’t want people to have a permanent record of your card ",4,"A whole new world  Love the app very helpful Staff in order to get me on the right track opening my account, et ceteraEverything seems to be working really goodWould love to have a virtual card though for one off purposes when you don’t want people to have a permanent record of your card ","A whole new world  Love the app very helpful Staff in order to get me on the right track opening my account, et ceteraEverything seems to be working really goodWould love to have a virtual card though for one off purposes when you don’t want people to have a permanent record of your card",new world love app helpful staff order right track opening account ceteraeverything working goodwould love virtual card purposes don want people permanent record card,4,0.4462,1,0.0778,Tarjetas y transferencias,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",Be alert at Christmas time !,"I had the novel experience of having a financial fraud committed against me on Christmas Day ! I tried to contact Virgin Money with no success ( hence the 4 stars) , however when I did manage to speak to someone on Boxing Day he was hugely helpful and reassuring. He told me that the fraud team would be able to help me further the following day, and this they did ! I had in the mail today a letter confirming that my account has been refunded and that I would be informed of anything that they discover about the fraud. ",4,"Be alert at Christmas time ! I had the novel experience of having a financial fraud committed against me on Christmas Day ! I tried to contact Virgin Money with no success ( hence the 4 stars) , however when I did manage to speak to someone on Boxing Day he was hugely helpful and reassuring. He told me that the fraud team would be able to help me further the following day, and this they did ! I had in the mail today a letter confirming that my account has been refunded and that I would be informed of anything that they discover about the fraud. ","Be alert at Christmas time ! I had the novel experience of having a financial fraud committed against me on Christmas Day ! I tried to contact Virgin Money with no success ( hence the 4 stars) , however when I did manage to speak to someone on Boxing Day he was hugely helpful and reassuring. He told me that the fraud team would be able to help me further the following day, and this they did ! I had in the mail today a letter confirming that my account has been refunded and that I would be informed of anything that they discover about the fraud.",alert christmas novel experience having financial fraud committed christmas contact virgin money success stars did manage speak boxing hugely helpful reassuring fraud team able help following did mail today letter confirming account refunded informed discover fraud,4,0.915,0,0.0716,Cuenta y fraude,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

", excellentVIRGIN after filling…,I found virgin excellent after filling in my details also getting codes to prove it wasn’t a scam they were excellent if I could give them 10 stars I would also I would recommend virgin 👍👍🤶,4, excellentVIRGIN after filling… I found virgin excellent after filling in my details also getting codes to prove it wasn’t a scam they were excellent if I could give them 10 stars I would also I would recommend virgin 👍👍🤶,excellentVIRGIN after filling… I found virgin excellent after filling in my details also getting codes to prove it wasn’t a scam they were excellent if I could give them 10 stars I would also I would recommend virgin 👍👍🤶,excellentvirgin filling virgin excellent filling details getting codes prove wasn scam excellent stars recommend virgin,4,0.4806,4,0.049,Atención presencial,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",The benefits of the card were clearly…,"The benefits of the card were clearly set out and the application was quick and easy. I had a slight hiccup when downloading the app- there is a separate app for the credit card, which took me some time to figure out, but I got there. The one remaining issue I have is that I cannot find the date I need to pay my monthly amount by, though the statement date is clear and I am hoping the payment date will be specified there.",4,"The benefits of the card were clearly… The benefits of the card were clearly set out and the application was quick and easy. I had a slight hiccup when downloading the app- there is a separate app for the credit card, which took me some time to figure out, but I got there. The one remaining issue I have is that I cannot find the date I need to pay my monthly amount by, though the statement date is clear and I am hoping the payment date will be specified there.","The benefits of the card were clearly… The benefits of the card were clearly set out and the application was quick and easy. I had a slight hiccup when downloading the app- there is a separate app for the credit card, which took me some time to figure out, but I got there. The one remaining issue I have is that I cannot find the date I need to pay my monthly amount by, though the statement date is clear and I am hoping the payment date will be specified there.",benefits card clearly benefits card clearly set application quick easy slight hiccup downloading app separate app credit card took figure remaining issue date need pay monthly statement date clear hoping payment date specified,4,0.5678,1,0.1831,Tarjetas y transferencias,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",Gave me a credit card,"Virgin Money provided me a credit card when needed through Experian. Nice, convenient process. I've been with them for 2 years now and get good insurance benefits paying £12.50 a month which is the current reduced price.",4,"Gave me a credit card Virgin Money provided me a credit card when needed through Experian. Nice, convenient process. I've been with them for 2 years now and get good insurance benefits paying £12.50 a month which is the current reduced price.","Gave me a credit card Virgin Money provided me a credit card when needed through Experian. Nice, convenient process. I've been with them for 2 years now and get good insurance benefits paying £12.50 a month which is the current reduced price.",gave credit card virgin money provided credit card needed experian nice convenient process good insurance benefits paying current reduced price,5,0.5076,1,0.2771,Tarjetas y transferencias,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",Was amazing  everything went very well…,Was amazing  everything went very well the experience was great ,4,Was amazing  everything went very well… Was amazing  everything went very well the experience was great ,Was amazing  everything went very well… Was amazing  everything went very well the experience was great,amazing went amazing went experience great,5,0.806,4,0.0855,Atención presencial,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",The process of transferring my cash ISA…,"The process of transferring my cash ISA to a new product was straight forward and easy.One thing was a little annoying, there was no choice for to transfer part of my money and being able to access the remainder of my cash to use now.",4,"The process of transferring my cash ISA… The process of transferring my cash ISA to a new product was straight forward and easy.One thing was a little annoying, there was no choice for to transfer part of my money and being able to access the remainder of my cash to use now.","The process of transferring my cash ISA… The process of transferring my cash ISA to a new product was straight forward and easy.One thing was a little annoying, there was no choice for to transfer part of my money and being able to access the remainder of my cash to use now.",process transferring cash isa process transferring cash isa new product straight forward easy thing little annoying choice transfer money able access remainder cash,4,0.611,6,0.081,Proceso y solicitudes,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",Solid Bank ,"Helpful and reliable service provided by Virgin and a good range of products, including a business bank account which I also signed up for. It took a while for the incentive to come for opening an account, but overall pleased with them. ",4,"Solid Bank  Helpful and reliable service provided by Virgin and a good range of products, including a business bank account which I also signed up for. It took a while for the incentive to come for opening an account, but overall pleased with them. ","Solid Bank  Helpful and reliable service provided by Virgin and a good range of products, including a business bank account which I also signed up for. It took a while for the incentive to come for opening an account, but overall pleased with them.",solid bank helpful reliable service provided virgin good range products including business bank account signed took incentive come opening account overall pleased,4,0.6407,5,0.1397,Experiencia general,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",Account set up was easy,Account set up was easy and balance transfer processed straight away ,4,Account set up was easy Account set up was easy and balance transfer processed straight away ,Account set up was easy Account set up was easy and balance transfer processed straight away,account set easy account set easy balance transfer processed straight away,5,0.3866,6,0.1612,Proceso y solicitudes,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",i found it very easy tonavigate website…,i found it very easy tonavigate website and open the accounts that I was looking for.When virgin carried out the relevant checks the accounts were opened immediately and it has been an easy process to transfer money in from other banks for example to transfer a mature ISA into a new ISA. Also opened an online current account and received card through within seven days followed up with an activation pin. so no problems to date.,4,i found it very easy tonavigate website… i found it very easy tonavigate website and open the accounts that I was looking for.When virgin carried out the relevant checks the accounts were opened immediately and it has been an easy process to transfer money in from other banks for example to transfer a mature ISA into a new ISA. Also opened an online current account and received card through within seven days followed up with an activation pin. so no problems to date.,i found it very easy tonavigate website… i found it very easy tonavigate website and open the accounts that I was looking for.When virgin carried out the relevant checks the accounts were opened immediately and it has been an easy process to transfer money in from other banks for example to transfer a mature ISA into a new ISA. Also opened an online current account and received card through within seven days followed up with an activation pin. so no problems to date.,easy tonavigate website easy tonavigate website open accounts looking virgin carried relevant checks accounts opened immediately easy process transfer money banks example transfer mature isa new isa opened online current account received card seven days followed activation pin problems date,5,0.524,6,0.2106,Proceso y solicitudes,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",supportive,Everyone has money problems even the rich.Virgin money had a great offer of 0% interest free card that lifted the money worries for the next year or twoCommunication was excellent service Thank you ,4,supportive Everyone has money problems even the rich.Virgin money had a great offer of 0% interest free card that lifted the money worries for the next year or twoCommunication was excellent service Thank you ,supportive Everyone has money problems even the rich.Virgin money had a great offer of 0% interest free card that lifted the money worries for the next year or twoCommunication was excellent service Thank you,supportive money problems rich virgin money great offer free card lifted money worries twocommunication excellent service thank,5,0.499,1,0.0523,Tarjetas y transferencias,positivo
